service_id,date,exception_type
040-17-1115102025-INN#MUC,20251016,2
040-17-1115102025-INN#MUC,20251022,2
040-17-1115102025-INN#MUC,20251023,2
040-17-1215012026-INN#MUC,20260108,2
040-17-1215122025-INN#MUC,20251202,2
040-17-1215122025-INN#MUC,20251209,2
040-17-1215122025-INN#MUC,20251216,2
040-18-1510102025-MUC#INN,20251008,2
040-18-1510102025-MUC#INN,20251009,2
040-18-1510102025-MUC#INN,20251015,2
040-18-1510102025-MUC#INN,20251016,2
040-18-1510102025-MUC#INN,20251022,2
040-18-1510102025-MUC#INN,20251023,2
040-18-1605012026-MUC#INN,20260108,2
040-18-1605122025-MUC#INN,20251209,2
040-18-1605122025-MUC#INN,20251216,2
040-19-1415122025-INN#MUC,20251224,2
040-20-1820122025-MUC#INN,20251224,2
040-22-1900102025-MUC#INN,20251008,2
040-22-1900102025-MUC#INN,20251009,2
040-22-1900102025-MUC#INN,20251015,2
040-22-1900102025-MUC#INN,20251016,2
040-22-1900102025-MUC#INN,20251022,2
040-22-1900102025-MUC#INN,20251023,2
040-22-2000012026-MUC#INN,20260108,2
040-22-2000122025-MUC#INN,20251202,2
040-22-2000122025-MUC#INN,20251204,2
040-22-2000122025-MUC#INN,20251209,2
040-22-2000122025-MUC#INN,20251211,2
040-22-2000122025-MUC#INN,20251216,2
040-22-2000122025-MUC#INN,20251218,2
040-25-0715102025-INN#MUC,20251008,2
040-25-0715102025-INN#MUC,20251009,2
040-25-0715102025-INN#MUC,20251015,2
040-25-0715102025-INN#MUC,20251016,2
040-25-0715102025-INN#MUC,20251022,2
040-25-0715102025-INN#MUC,20251023,2
040-25-0815012026-INN#MUC,20260108,2
040-25-0815122025-INN#MUC,20251203,2
040-25-0815122025-INN#MUC,20251210,2
040-25-0815122025-INN#MUC,20251217,2
040-26-1005122025-MUC#INN,20251225,2
040-28-1105102025-MUC#INN,20251008,2
040-28-1105102025-MUC#INN,20251015,2
040-28-1105102025-MUC#INN,20251022,2
040-28-1205122025-MUC#INN,20251202,2
040-28-1205122025-MUC#INN,20251203,2
040-28-1205122025-MUC#INN,20251209,2
040-28-1205122025-MUC#INN,20251210,2
040-28-1205122025-MUC#INN,20251216,2
040-28-1205122025-MUC#INN,20251217,2
040-28-1205122025-MUC#INN,20251225,2
040-4-0650102025-MUC#INN,20251008,2
040-4-0650102025-MUC#INN,20251015,2
040-4-0650102025-MUC#INN,20251022,2
040-4-0750122025-MUC#INN,20251202,2
040-4-0750122025-MUC#INN,20251203,2
040-4-0750122025-MUC#INN,20251209,2
040-4-0750122025-MUC#INN,20251210,2
040-4-0750122025-MUC#INN,20251216,2
040-4-0750122025-MUC#INN,20251217,2
040-5-1005122025-INN#MUC,20251224,2
040-8-1405012026-MUC#INN,20260108,2
040-8-1405122025-MUC#INN,20251209,2
040-8-1405122025-MUC#INN,20251211,2
040-8-1405122025-MUC#INN,20251216,2
040-8-1405122025-MUC#INN,20251218,2
040-8-1410122025-MUC#INN,20251223,2
040-8-1410122025-MUC#INN,20251224,2
040-8-1410122025-MUC#INN,20251225,2
040-9-1515102025-INN#MUC,20251008,2
040-9-1515102025-INN#MUC,20251009,2
040-9-1515102025-INN#MUC,20251015,2
040-9-1515102025-INN#MUC,20251016,2
040-9-1515102025-INN#MUC,20251022,2
040-9-1515102025-INN#MUC,20251023,2
040-9-1615012026-INN#MUC,20260108,2
040-9-1615122025-INN#MUC,20251202,2
040-9-1615122025-INN#MUC,20251204,2
040-9-1615122025-INN#MUC,20251209,2
040-9-1615122025-INN#MUC,20251211,2
040-9-1615122025-INN#MUC,20251216,2
040-9-1615122025-INN#MUC,20251218,2
049-1-0800092025-B#HL,20250909,2
049-1-0800092025-B#HL,20250910,2
049-1-0800092025-B#HL,20250916,2
049-1-0800092025-B#HL,20250917,2
049-1-0800092025-B#HL,20250923,2
049-1-0800092025-B#HL,20250924,2
049-1-0800102025-B#HL,20251008,2
049-1-0800102025-B#HL,20251015,2
049-1-0800102025-B#HL,20251022,2
049-1-0900122025-B#HL,20251202,2
049-1-0900122025-B#HL,20251203,2
049-1-0900122025-B#HL,20251209,2
049-1-0900122025-B#HL,20251210,2
049-32-1400092025-HL#B,20250909,2
049-32-1400092025-HL#B,20250910,2
049-32-1400092025-HL#B,20250916,2
049-32-1400092025-HL#B,20250917,2
049-32-1400092025-HL#B,20250923,2
049-32-1400092025-HL#B,20250924,2
049-32-1400102025-HL#B,20251008,2
049-32-1400102025-HL#B,20251015,2
049-32-1400102025-HL#B,20251022,2
049-32-1500122025-HL#B,20251202,2
049-32-1500122025-HL#B,20251203,2
049-32-1500122025-HL#B,20251209,2
049-32-1500122025-HL#B,20251210,2
050-10-1100092025-HH#B,20250907,2
050-10-1200122025-HH#B,20251216,2
050-10-1200122025-HH#B,20251217,2
050-10-1200122025-HH#B,20251221,2
050-10-1200122025-HH#B,20251223,2
050-10-1200122025-HH#B,20251224,2
050-1-0715122025-B#HH,20251223,2
050-11-1100122025-B#HH,20251203,2
050-11-1100122025-B#HH,20251210,2
050-11-1100122025-B#HH,20251217,2
050-13-1100092025-B#HH,20250906,2
050-13-1200122025-B#HH,20251215,2
050-13-1200122025-B#HH,20251216,2
050-13-1200122025-B#HH,20251217,2
050-13-1200122025-B#HH,20251218,2
050-13-1200122025-B#HH,20251219,2
050-13-1200122025-B#HH,20251220,2
050-13-1200122025-B#HH,20251221,2
050-13-1200122025-B#HH,20251222,2
050-13-1200122025-B#HH,20251223,2
050-13-1200122025-B#HH,20251224,2
050-14-1300012026-HH#B,20260102,2
050-14-1300122025-HH#B,20251226,2
050-15-1330122025-B#HH,20251206,2
050-15-1330122025-B#HH,20251207,2
050-15-1330122025-B#HH,20251208,2
050-15-1330122025-B#HH,20251209,2
050-15-1330122025-B#HH,20251210,2
050-15-1330122025-B#HH,20251213,2
050-15-1330122025-B#HH,20251214,2
050-16-1300092025-HH#B,20250914,2
050-16-1300092025-HH#B,20250921,2
050-16-1300092025-HH#B,20250928,2
050-16-1400012026-HH#B,20260102,2
050-16-1400122025-HH#B,20251224,2
050-16-1400122025-HH#B,20251226,2
050-17-1400122025-B#HH,20251224,2
050-18-1430012026-HH#B,20260109,2
050-18-1430012026-HH#B,20260116,2
050-18-1430012026-HH#B,20260123,2
